,month,artist,ms_played
340,2022-04-01,Kendrick Lamar,28722319
341,2022-04-01,Khalid,10272042
342,2022-04-01,Khruangbin,11399232
343,2022-04-01,Lake Street Dive,103479046
344,2022-04-01,Lauv,6175296
345,2022-04-01,Lorde,11061523
346,2022-04-01,Mac Miller,29856148
347,2022-04-01,Maggie Rogers,3147790
348,2022-04-01,Major Lazer,10638839
349,2022-04-01,Midland,20814044
350,2022-04-01,Mo Lowda & the Humble,4739145
351,2022-04-01,Motel Radio,23627551
352,2022-04-01,OneRepublic,4131292
353,2022-04-01,Pomplamoose,221921522
354,2022-04-01,Post Malone,7407501
355,2022-04-01,Rainbow Kitten Surprise,3955263
356,2022-04-01,Remi Wolf,6083779
357,2022-04-01,Rex Orange County,6631293
358,2022-04-01,ScHoolboy Q,6704862
359,2022-04-01,Scary Pockets,31738670
360,2022-04-01,Sean Dagher,6804732
361,2022-04-01,Shovels & Rope,12595293
362,2022-04-01,Surfaces,12991730
363,2022-04-01,Tame Impala,10607670
364,2022-04-01,Taylor Swift,68579607
365,2022-04-01,The Brook & The Bluff,6848080
366,2022-04-01,The Longest Johns,11870980
367,2022-04-01,"Tyler, The Creator",14391132
368,2022-04-01,Zara Larsson,5954036
369,2022-05-01,88rising,7520011
370,2022-05-01,ASL,6937568
371,2022-05-01,Alabama Shakes,12395542
372,2022-05-01,Aminé,28565401
373,2022-05-01,Anderson .Paak,17282893
374,2022-05-01,Baby Keem,24269638
375,2022-05-01,Big Wild,24194696
376,2022-05-01,Billie Eilish,7582403
377,2022-05-01,Brittany Howard,7246070
378,2022-05-01,Brothers Osborne,5908050
379,2022-05-01,Bruno Mars,12151647
380,2022-05-01,COIN,13242047
381,2022-05-01,Calvin Harris,14355449
382,2022-05-01,Charlie Puth,5476372
383,2022-05-01,Chris Stapleton,13997959
384,2022-05-01,Creedence Clearwater Revival,4994408
385,2022-05-01,Daniel Caesar,9210332
386,2022-05-01,Denzel Curry,17837111
387,2022-05-01,Disclosure,11384018
388,2022-05-01,Drake,6951567
389,2022-05-01,Dua Lipa,20239541
390,2022-05-01,Duckwrth,14195752
391,2022-05-01,Electric Light Orchestra,3210080
392,2022-05-01,Elise Trouw,15236078
393,2022-05-01,Elton John,6742233
394,2022-05-01,Fall Out Boy,3226877
395,2022-05-01,Florence + The Machine,8867704
396,2022-05-01,Foo Fighters,16305333
397,2022-05-01,Frank Ocean,61384541
398,2022-05-01,Gallant,5664073
399,2022-05-01,GoldLink,10463725
400,2022-05-01,Greta Van Fleet,7978045
401,2022-05-01,Joji,6450087
402,2022-05-01,Kanye West,17603803
403,2022-05-01,Kendrick Lamar,55127438
404,2022-05-01,Khalid,14136632
405,2022-05-01,Khruangbin,12022194
406,2022-05-01,Lake Street Dive,107210458
407,2022-05-01,Lauv,6625862
408,2022-05-01,Lorde,11682387
409,2022-05-01,Mac Miller,34325464
410,2022-05-01,Maggie Rogers,3149582
411,2022-05-01,Major Lazer,11870833
412,2022-05-01,Midland,23938167
413,2022-05-01,Mo Lowda & the Humble,4977217
414,2022-05-01,Motel Radio,24069690
415,2022-05-01,OneRepublic,4849173
416,2022-05-01,Pomplamoose,232618791
417,2022-05-01,Post Malone,7873554
418,2022-05-01,Rainbow Kitten Surprise,4407043
419,2022-05-01,Remi Wolf,6691158
420,2022-05-01,Rex Orange County,7451835
421,2022-05-01,ScHoolboy Q,7141941
422,2022-05-01,Scary Pockets,34787922
423,2022-05-01,Sean Dagher,7166664
424,2022-05-01,Shovels & Rope,12770273
425,2022-05-01,Surfaces,13669227
426,2022-05-01,Tame Impala,11888872
427,2022-05-01,Taylor Swift,69119008
428,2022-05-01,The Brook & The Bluff,7337969
429,2022-05-01,The Longest Johns,12590291
430,2022-05-01,"Tyler, The Creator",15604062
431,2022-05-01,Zara Larsson,6991673
432,2022-06-01,88rising,9051092
433,2022-06-01,ASL,7958870
434,2022-06-01,Alabama Shakes,13497953
435,2022-06-01,Aminé,29949390
436,2022-06-01,Anderson .Paak,18095820
437,2022-06-01,Baby Keem,25202013
438,2022-06-01,Big Wild,24685290
439,2022-06-01,Billie Eilish,9016107
440,2022-06-01,Brittany Howard,7408880
441,2022-06-01,Brothers Osborne,6726062
442,2022-06-01,Bruno Mars,13304288
443,2022-06-01,COIN,14059047
