,artist,track,uri,time,ms_played
23077,Charlie Burg,Lancaster Nights,spotify:track:48jV8AW50589btXi0Hs5f4,2022-05-24 15:23,126963
23078,Rex Orange County,It Gets Better,spotify:track:6lxJDscGCALBzA0BdhGCiL,2022-05-24 15:23,970
23079,AUDREY NUNA,Comic Sans (feat. Jack Harlow),spotify:track:2dQn5I17lUiQ8ZpjqMh3TU,2022-05-24 15:23,1020
23080,Drake,Back To Back,spotify:track:5lFDtgWsjRJu8fPOAyJIAK,2022-05-24 15:23,1200
23081,Sam Smith,Kids Again,spotify:track:1ABS9lKaZ1uXkXCqr9zFO7,2022-05-24 15:23,2260
23082,Steppenwolf,Born To Be Wild - Single Version,spotify:track:3lN8PP6R2IxbLP05QpYXng,2022-05-24 15:23,780
23083,Taylor Swift,willow,spotify:track:0lx2cLdOt3piJbcaXIV74f,2022-05-24 15:26,214706
23084,Samm Henshaw,Broke,spotify:track:1JqcZQCnxjDOfZZwQidb1H,2022-05-24 15:27,36273
23085,Kendrick Lamar,FEAR.,spotify:track:23luOrEVHMfoX0AhfbQuS6,2022-05-24 15:28,82780
23086,Call Me Loop,Cut & Run,spotify:track:7nfE3p50K9C8jmzdwUOwl6,2022-05-24 15:28,660
23087,Free Nationals,Gidget (feat. Anderson .Paak & T.Nava),spotify:track:1UrxBDCv9kDRIBUc2oskNR,2022-05-24 15:28,3380
23088,Old Dominion,Hotel Key - Recorded at Sound Stage Studios Nashville,spotify:track:1DLguucCi86On4F9TW8CU7,2022-05-24 15:28,620
23089,Major Lazer,Know No Better,spotify:track:6BKeNWeUqxmvQ09Gxd3ZGX,2022-05-24 15:28,760
23090,Brittany Howard,Tomorrow - BADBADNOTGOOD Remix,spotify:track:7kitUH5vfn1XXbVX1AMv8I,2022-05-24 15:28,1040
23091,Migos,Stir Fry,spotify:track:2UVbBKQOdFAekPTRsnkzcf,2022-05-24 15:28,630
23092,Terrell Hines,We're All Gonna Be Killed,spotify:track:0OWJgwv0SF2gJPtbjAPGub,2022-05-24 15:28,640
23093,Khalid,Skyline,spotify:track:1QxIFMs4M8qd5cbJJu80v4,2022-05-24 15:32,182895
23094,Mac Miller,Funeral,spotify:track:1R6rtoBkIuShlb2LsBfTYR,2022-05-24 15:32,4024
23095,Tame Impala,The Less I Know The Better,spotify:track:6K4t31amVTZDgR3sKmwUJJ,2022-05-24 15:32,710
23096,Pearl Jam,Alive,spotify:track:1L94M3KIu7QluZe63g64rv,2022-05-24 15:32,1050
23097,Jackie Greene,Modern Lives,spotify:track:3fvxaJ1K1MJAo8ZoVTkneO,2022-05-24 15:32,640
23098,Anderson .Paak,Tints (feat. Kendrick Lamar),spotify:track:7c3SbTuufigBWURcICnAWy,2022-05-24 15:32,790
23099,New Madrid,"Country Moon, Pt. II",spotify:track:3iOCb374jRWeMTdBWFqetK,2022-05-24 15:32,970
23100,Taylor Swift,the last great american dynasty,spotify:track:2Eeur20xVqfUoM3Q7EFPFt,2022-05-24 15:32,1520
23101,Mac Miller,Right,spotify:track:165cwz4wGlGz0uDBhxdKLY,2022-05-24 15:32,1370
23102,Mac Miller,Right,spotify:track:165cwz4wGlGz0uDBhxdKLY,2022-05-24 15:37,287871
23103,Jackie Greene,Modern Lives,spotify:track:3fvxaJ1K1MJAo8ZoVTkneO,2022-05-24 15:40,205640
23104,NoMBe,Paint California,spotify:track:3gO5XTzRxOcOU13ndEvdeB,2022-05-24 15:42,860
23105,Aerosmith,Livin' On The Edge - Live Version,spotify:track:6u929foKULDPLBl4ZBbCm6,2022-05-24 15:42,710
23106,Creedence Clearwater Revival,Bad Moon Rising,spotify:track:20OFwXhEXf12DzwXmaV7fj,2022-05-24 15:42,1220
23107,Maggie Rogers,Say It,spotify:track:6PyZGb1rB7oLKCICWTmGYa,2022-05-24 15:42,980
23108,Brittany Howard,Short and Sweet - Bon Iver Remix,spotify:track:6cXUDyhMsGtnDBVPtQiLQ9,2022-05-24 15:42,830
23109,Lynyrd Skynyrd,Simple Man,spotify:track:1ju7EsSGvRybSNEsRvc7qY,2022-05-24 15:42,1160
23110,Motel Radio,Midnight,spotify:track:7GRcim0xmBLWkC7ab9AmkN,2022-05-24 15:42,1650
23111,The Avett Brothers,High Steppin' - Single Version,spotify:track:5NveECw1R6NvDuhhNMt9gR,2022-05-24 15:42,1210
23112,WOOF! IT'S BILLY,LIGHT RAIN,spotify:track:1QrgzkusvJrJZZJZfAwls5,2022-05-24 15:42,1230
23113,King Princess,1950,spotify:track:0CZ8lquoTX2Dkg7Ak2inwA,2022-05-24 15:42,780
23114,DJ Snake,A Different Way (with Lauv),spotify:track:1YMBg7rOjxzbya0fPOYfNX,2022-05-24 15:42,1470
23115,Joji,CAN'T GET OVER YOU (feat. Clams Casino),spotify:track:39oeKRgsLeynDIbWuXyA47,2022-05-24 15:42,1050
23116,Elton John,Finish Line,spotify:track:70TFwuLyduUQYij2aCmIsx,2022-05-24 15:42,980
23117,88rising,Calculator,spotify:track:2SJ6kMku0V8rXCB4bd8LHi,2022-05-24 15:42,1270
23118,88rising,Tequila Sunrise (feat. AUGUST 08 & GoldLink),spotify:track:121bJml1xjrfnZuk2yPsLG,2022-05-24 15:42,1020
23119,Zara Larsson,So Good (feat. Ty Dolla $ign),spotify:track:54LGxQGf5LPXNGjtzDZ5IE,2022-05-24 15:42,860
23120,The 1975,Guys,spotify:track:1qQJWohzIrKMNIz6pyyKYw,2022-05-24 15:42,1430
23121,Tyler Childers,Whitehouse Road,spotify:track:0fbR95FEaJUxiQYaqZZukv,2022-05-24 15:42,850
23122,Brothers Osborne,Dirt Rich,spotify:track:0JUbyCtmEJfEMjHbBbnCfJ,2022-05-24 15:42,980
23123,Fleetwood Mac,Never Going Back Again - Acoustic Duet,spotify:track:6W9ANRwvNdorYlMIuNIClv,2022-05-24 19:40,670
23124,Mike Zito,Mississippi Nights,spotify:track:4FdgENJLxPqHFu9kX3iR4j,2022-05-24 19:40,1320
23125,Hey Steve,Miss Prince,spotify:track:4vIcKCVTVXwTV7r6Ji0LfP,2022-05-24 19:40,730
23126,Alt Bloom,Call It Home,spotify:track:35fEFFcFdFPgEpTzPAb7uT,2022-05-24 19:40,1020
